Status,Location,Service,25 kHz,8.33kHz,Indicated Conversion Date,LARS/SQUAWK,ICAO Code,ANO,,,,,,,,,,,,,,
Conversion Requested,ABERDEEN/DYCE,TWR,118.100,118.105,13/09/2018,-,EGPD,,,,,,,,,,,,,,,
Conversion Requested,ABERDEEN/DYCE,APP,119.050,119.055,13/09/2018,-,EGPD,,,,,,,,,,,,,,,
Not Yet Converted,ABERDEEN/DYCE,APP,120.400,,,-,EGPD,,,,,,,,,,,,,,,
Not Yet Converted,ABERDEEN/DYCE,APP,121.250,,,-,EGPD,,,,,,,,,,,,,,,
Not Yet Converted,ABERDEEN/DYCE,APP,121.250,,,-,EGPD,,,,,,,,,,,,,,,
Conversion Requested,ABERDEEN/DYCE,AS,121.675,121.680,TBC,-,EGPD,,,,,,,,,,,,,,,
Conversion Requested,ABERDEEN/DYCE,AS,121.700,121.705,13/09/2018,-,EGPD,,,,,,,,,,,,,,,
Conversion Requested,ABERDEEN/DYCE,ATIS,121.850,,13/09/2018,-,EGPD,,,,,,,,,,,,,,,
Conversion Requested,ABERDEEN/DYCE,APP,128.300,128.305,13/09/2018,-,EGPD,,,,,,,,,,,,,,,
Not Yet Converted,ABERDEEN/DYCE,A/G,131.275,,,-,EGPD,,,,,,,,,,,,,,,
Not Yet Converted,ABERPORTH RAD,FIS,119.650,,,-,EGPD,,,,,,,,,,,,,,,
Not Yet Converted,WEST WALES/ABERPORTH,AFIS,122.150,,,-,,,,,,,,,,,,,,,,
Conversion Completed,WEST WALES RAD,APP,127.085,127.090,,-,EGFA,,,,,,,,,,,,,,,
Not Yet Converted,ABERPORTH,A/G,133.500,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ALDERNEY,TWR,125.350,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ANDREWS FIELD,A/G,130.550,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ARBROATH,A/G,124.100,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,ASHCROFT,A/G,131.025,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BACTON,A/G,123.625,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BADMINTON,A/G,123.175,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BAGBY,A/G,123.250,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BARKSTON HEATH,TWR,120.425,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BARKSTON HEATH,ATIS,132.125,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BARQUE/CLIPPER FIELD,A/G,133.575,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BARRA,AFIS,118.075,,,-,,,,,,,,,,,,,,,,
Conversion Requested,BARROW/WALNEY ISLAND,TWR,123.200,123.205,TBC,-,,,,,,,,,,,,,,,,
Conversion Requested,BARROW/WALNEY ISLAND,OPC,130.375,130.380,TBC,-,,,,,,,,,,,,,,,,
Not Yet Converted,BARTON,AFIS,120.250,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BAXBY,A/G,118.600,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BECCLES,A/G,120.375,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BEDFORD,A/G,119.025,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BELFAST CITY,ATIS,136.625,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BELFAST/ALDERGROVE,TWR,118.300,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BELFAST/ALDERGROVE,APP,120.900,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BELFAST/ALDERGROVE,AS,121.750,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BELFAST/ALDERGROVE,ATIS,128.200,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BELFAST/ALDERGROVE,APP,128.500,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,BELFAST/HARBOUR,TWR,122.825,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BELFAST/HARBOUR,APP,130.850,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,BELFAST/HARBOUR,APP,134.800,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BEMBRIDGE,A/G,123.250,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BENBECULA,APP,119.200,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BENBECULA,A/G,133.500,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BENSON,APP,120.900,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BENSON,AS,121.800,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BENSON,TWR,127.150,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BENSON,APP,136.450,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BEVERLEY/LINLEY HILL,A/G,123.050,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BIGGIN HILL,ATIS,135.675,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BIGGIN HILL/BIG.HILL,APP,129.400,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BIGGIN HILL/BIG.HILL,TWR,134.800,,,-,,,,,,,,,,,,,,,,
Conversion Requested,BIRMINGHAM,APP,118.050,,TBC,LARS/SQUAWK,,,,,,,,,,,,,,,,
Conversion Requested,BIRMINGHAM,TWR,118.300,118.305,01/05/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,BIRMINGHAM,AS,121.800,121.805,01/05/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,BIRMINGHAM,AS,121.925,121.930,01/05/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,BIRMINGHAM,APP,131.000,131.005,01/05/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,BIRMINGHAM,APP,131.325,131.330,01/05/2018,-,,,,,,,,,,,,,,,,
Conversion Requested,BIRMINGHAM,ATIS,136.025,136.030,01/05/2018,-,,,,,,,,,,,,,,,,
Conversion Completed,BLACKBUSHE,AFIS,122.300,122.305,28/02/2018,-,EGLK,,,,,,,,,,,,,,,
Not Yet Converted,BLACKPOOL/BLACKPOOL,TWR,118.400,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BLACKPOOL/BLACKPOOL,APP,119.950,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BLACKPOOL/BLACKPOOL,ATIS,127.200,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BODMIN,A/G,122.700,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BOSCOMBE DOWN,A/G,118.750,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BOSCOMBE DOWN,AS,121.800,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BOSCOMBE DOWN,APP,126.700,,,LARS/SQUAWK,,,,,,,,,,,,,,,,
Not Yet Converted,BOSCOMBE DOWN,TWR,130.000,,,-,,,,,,,,,,,,,,,,
Not Yet Converted,BOSCOMBE DOWN,APP,130.750,,,-,,,,,,,,,,,,,,,,
Conversion Requested,BOURN,A/G,124.350,124.355,TBC,-,,,,,,,,,,,,,,,,
